iter	Passed	Remaining
402	13250	19629
403	13285	19598
404	13317	19565
405	13349	19531
406	13382	19498
407	13414	19464
408	13450	19435
409	13484	19403
410	13517	19371
411	13551	19340
412	13584	19307
413	13616	19273
414	13649	19240
415	13681	19207
416	13714	19174
417	13749	19144
418	13784	19114
419	13818	19082
420	13852	19051
421	13890	19025
422	13921	18990
423	13955	18958
424	13988	18926
425	14021	18893
426	14055	18861
427	14090	18831
428	14128	18804
429	14160	18771
430	14193	18737
431	14227	18706
432	14260	18674
433	14294	18642
434	14329	18611
435	14363	18580
436	14397	18548
437	14432	18518
438	14468	18488
439	14503	18459
440	14535	18425
441	14569	18392
442	14603	18360
443	14635	18327
444	14667	18293
445	14706	18267
446	14738	18233
447	14775	18205
448	14808	18172
449	14842	18140
450	14878	18111
451	14909	18076
452	14942	18042
453	14974	18009
454	15005	17973
455	15042	17944
456	15073	17910
457	15105	17876
458	15138	17842
459	15172	17810
460	15206	17779
461	15239	17746
462	15273	17714
463	15304	17679
464	15338	17647
465	15372	17615
466	15403	17580
467	15438	17549
468	15472	17517
469	15503	17482
470	15536	17450
471	15569	17416
472	15601	17383
473	15635	17350
474	15668	17317
475	15701	17284
476	15733	17250
477	15766	17217
478	15796	17181
479	15831	17150
480	15862	17115
481	15896	17083
482	15927	17048
483	15959	17014
484	15992	16981
485	16023	16946
486	16055	16912
487	16089	16880
488	16123	16848
489	16156	16816
490	16194	16788
491	16227	16755
492	16259	16721
493	16292	16688
494	16326	16656
495	16360	16624
496	16393	16590
497	16425	16556
498	16459	16525
499	16492	16492
500	16525	16459
501	16558	16426
502	16592	16394
503	16624	16360
504	16657	16327
505	16690	16294
506	16723	16261
507	16757	16229
508	16785	16192
509	16817	16157
510	16854	16128
511	16887	16095
512	16920	16062
513	16951	16027
514	16981	15991
515	17016	15960
516	17051	15929
517	17086	15899
518	17126	15872
519	17159	15839
520	17192	15806
521	17225	15773
522	17256	15738
523	17289	15706
524	17320	15671
525	17355	15639
526	17386	15605
527	17419	15571
528	17454	15540
529	17487	15507
530	17520	15474
531	17548	15437
532	17579	15402
533	17612	15369
534	17643	15335
535	17678	15303
536	17714	15272
537	17749	15242
538	17783	15209
539	17818	15179
540	17855	15148
541	17887	15114
542	17922	15083
543	17955	15050
544	17990	15019
545	18022	14985
546	18055	14952
547	18088	14919
548	18119	14885
549	18151	14851
550	18185	14819
551	18216	14784
552	18252	14753
553	18285	14720
554	18317	14686
555	18348	14652
556	18381	14619
557	18413	14585
558	18444	14551
559	18477	14517
560	18508	14483
561	18539	14449
562	18571	14415
563	18602	14380
564	18632	14345
565	18664	14311
566	18699	14279
567	18733	14248
568	18766	14215
569	18799	14182
570	18832	14148
571	18868	14118
572	18902	14085
573	18934	14052
574	18969	14021
575	19003	13988
576	19034	13954
577	19065	13919
578	19098	13886
579	19129	13852
580	19162	13819
581	19197	13787
582	19230	13755
583	19263	13721
584	19298	13690
585	19333	13658
586	19367	13626
587	19400	13593
588	19437	13563
589	19469	13529
590	19503	13497
591	19537	13465
592	19570	13431
593	19601	13397
594	19631	13362
595	19663	13328
596	19694	13294
597	19727	13261
598	19757	13226
599	19787	13191
600	19820	13158
601	19853	13125
602	19886	13092
603	19920	13060
604	19952	13027
605	19984	12993
606	20018	12960
607	20051	12927
608	20085	12895
609	20118	12862
610	20151	12829
611	20183	12796
612	20217	12763
613	20252	12732
614	20285	12699
615	20318	12665
616	20351	12632
617	20388	12602
618	20423	12570
619	20455	12537
620	20490	12505
621	20522	12471
